Tiempo (s),Posición Y (px),Posición X (px),Posición Y (m),Posición X (m),Velocidad Y (m/s),Velocidad X (m/s),Aceleración Y (m/s^2),Aceleración X (m/s^2)
0.6916666666666667,39.0,-10.0,0.35283299999999995,-0.09047,0.21712799999999952,0.21712800000000018,10.422143999999959,0.0
0.6958333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.21712800000000018,0.0,2.7977620220554046e-14
0.7,39.0,-11.0,0.35283299999999995,-0.099517,-0.21712800000000085,-0.21712800000000018,-10.422144000000078,-2.7977620220554046e-14
0.7041666666666667,40.0,-10.0,0.36188,-0.09047,0.0,0.2171279999999996,0.0,-2.7977620220553894e-14
0.7083333333333334,40.0,-11.0,0.36188,-0.099517,0.21712800000000027,-0.2171279999999996,-2.7977620220553894e-14,2.7977620220553894e-14
0.7125,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,-10.422143999999959,-10.42214399999999
0.7166666666666667,39.0,-11.0,0.35283299999999995,-0.099517,0.0,-0.21712800000000018,0.0,-20.84428799999998
0.7208333333333333,40.0,-10.0,0.36188,-0.09047,0.0,0.21712800000000018,10.422144000000023,20.84428799999998
0.725,40.0,-11.0,0.36188,-0.099517,0.0,-0.21712800000000018,0.0,-20.844288000000063
0.7291666666666666,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000085,0.21712800000000018,-20.844288000000127,20.844288000000063
0.7333333333333333,40.0,-10.0,0.36188,-0.09047,0.21712800000000085,0.0,10.422144000000078,0.0
0.7375,40.0,-10.0,0.36188,-0.09047,0.21712800000000027,0.0,10.422143999999994,10.42214399999999
0.7416666666666667,40.0,-10.0,0.36188,-0.09047,0.21712800000000027,0.2171279999999996,10.422143999999994,-2.7977620220553894e-14
0.7458333333333333,39.0,-9.0,0.35283299999999995,-0.08142299999999998,-0.21712800000000085,0.21712800000000052,-10.422144000000023,20.844287999999995
0.75,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000085,0.21712800000000018,0.0,0.0
0.7541666666666667,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,-10.422144000000023,0.0
0.7583333333333333,40.0,-10.0,0.36188,-0.09047,0.21712800000000085,0.21712800000000018,2.7977620220554046e-14,10.422144000000046
